journal,esi_field,p_value,p_use,p_reporting,significance,stat_sig_use,stat_sig_reporting,conf_int,conf_int_use,conf_int_reporting,effect_size,effect_size_use,effect_size_reporting,sample_size,sample_size_use,bayes,bayes_use
JAMA Oncology,CLINICAL MEDICINE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5).",Implicit endorsement,Exact unless very small,"Report basic numbers only but state if results are statistically significant or not significant;

Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant.

State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.",Explicit endorsement,Report alpha,"In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation).

When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals.

Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals.

Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals), adverse effects, and very brief comments, if necessary.",Explicit endorsement,Report 95% Cis,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",Explicit endorsement,No guidance,"For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.",Explicit endorsement,NA,No guidance
JAMA Neurology,NEUROSCIENCE & BEHAVIOR,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared.
...
For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5).",Implicit endorsement,Exact unless very small,"Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant. 
...
Report basic numbers only but state if results are statistically significant or not significant
...
State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided",Explicit endorsement,Report alpha,"In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals 
...
When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals.
...
Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals. 
...
Summary data (eg, means, odds ratios) should be reported using data markers for point estimates, not bars, and should include error bars indicating measures of uncertainty (eg, SDs, 95% CIs).",Explicit endorsement,Report 95% Cis,"Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals.",Implicit endorsement,No guidance,"Sample Size Calculations. For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population",Explicit endorsement,NA,No guidance
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,CLINICAL MEDICINE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5). In general, there is no need to present the values of test statistics (eg, F statistics or χ² results) and degrees of freedom when reporting results.",Implicit endorsement,Exact unless very small,"Define statistical terms, abbreviations, and symbols, if included. Avoid nontechnical uses of technical terms in statistics, such as correlation, normal, predictor, random, sample, significant, trend. Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant...State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided...Report basic numbers only but state if results are statistically significant or not significant;",Explicit endorsement,Report alpha,"Tables summarizing treatments should have information organized by category of treatment and then by individual treatments. Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals)...When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals...In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation)...For regression models fit to dependent data (eg, clustered or longitudinal data), the models should account for the correlations that arise from clustering and/or repeated measures. Failure to account for such correlation will result in incorrect estimates of uncertainty (eg, confidence intervals).",Explicit endorsement,Report 95% Cis,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",Explicit endorsement,No guidance,"Sample Size Calculations

For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.",Explicit endorsement,NA,No guidance
BRITISH JOURNAL OF PHARMACOLOGY,PHARMACOLOGY & TOXICOLOGY,"BJP has rules on minimum group sizes (stated above), but determination of the precise group size sufficient to permit statistical analysis is normally undertaken using approaches such as power analysis that take into account the anticipated ‘spread’ of the data. These approaches identify the minimum group size that will allow detection of a difference at a predefined P value, and therefore if this minimum value is selected there is a high risk of ‘false negative’ findings. @@@ Clearly, group size should be determined a priori such that an expected effect on the variable of primary interest can easily be detected using the predefined P threshold (we refer readers to our advice on determining group sizes). However, such group sizes may be insufficient for reliable detection of effects on secondary and subsidiary variables. It is the responsibility of the author to explain this in the paper, especially if they wish to argue that an apparent lack of effect was due to a type 2 error (false negative). We additionally encourage authors to be aware that the calculated P value is almost always bigger than it seems (‘less significant’) owing to the false discovery rate which is one reason why some investigators argue that most (rather than just some) research findings are false (Colquhoun 2014; Begley 2013; Begley & Ioannidis 2015). @@@ authors must define what level of P they consider to constitute statistical significance within the Methods section of the paper. Authors may choose a more stringent P threshold than the current norm of P < 0.05, but this must not be changed from one part of a manuscript to another. @@@ The threshold P value deemed to constitute statistical significance should be defined in the Methods and this value only should be used to denote statistical significance in the Results.",Implicit endorsement,No guidance,"When comparing groups, and if a level of probability (p) is deemed to constitute the threshold for statistical significance, define this here in the ‘Data and Statistical Analysis’ sub-section of the Methods, and do not vary it later in Results (by presentation of multiple levels of significance). Thus, if p<0.05 is defined by the authors as threshold, p<0.01 etc. should not appear in the results. However, setting p at a lower value such as p<0.01 or 0.001 is acceptable (and considered good practice), provided that this is defined as constituting statistical significance, and is not varied. It is not necessary to state the exact level of p. @@@@ Statistical significance
The majority of papers published in BJP contain data sets
where several test groups are compared with a control
group in order to examine whether a drug has ‘an effect’.
In this context, statistics are used to inform a binary decision
about whether there is an effect or not. BJP continues
with the policy that authors must define what level of P
they consider to constitute statistical significance within
the Methods section of the paper. Authors may choose a
more stringent P threshold than the current norm of
P < 0.05, but this must not be changed from one part of a
manuscript to another.
Statistical analysis does not guarantee that a finding is
necessarily correct, and we will allow an author the right
to argue that a false positive or a false negative finding
may have been generated. This issue is particularly relevant
to variables of secondary interest. Clearly, group size should
be determined a priori such that an expected effect on the
variable of primary interest can easily be detected using
the predefined P threshold (we refer readers to our advice
on determining group sizes). However, such group sizes
may be insufficient for reliable detection of effects on secondary
and subsidiary variables. It is the responsibility of
the author to explain this in the paper, especially if they
wish to argue that an apparent lack of effect was due to a
type 2 error (false negative). We additionally encourage authors
to be aware that the calculated P value is almost always
bigger than it seems (‘less significant’) owing to the
false discovery rate which is one reason why some investigators
argue that most (rather than just some) research findings
are false (Colquhoun 2014; Begley 2013; Begley &
Ioannidis 2015).",Implicit endorsement,Report alpha,NA,No guidance,No guidance,NA,No guidance,No guidance,"Explain how you have determined/designed group sizes. These should be equal by design, and any variation owing to experimental losses or violation of predetermined exclusion criteria must be explained.
@@@@
[the paper should include] details of any prior sample size estimation (e.g. power calculation) @@@@ BJP has rules on minimum group sizes (stated above), but
determination of the precise group size sufficient to permit
statistical analysis is normally undertaken using approaches
such as power analysis that take into account the anticipated ‘spread’ of the data. These approaches identify the minimum group size that will allow detection of a difference at a predefined P value, and therefore if thisminimum value is selected
there is a high risk of ‘false negative’ findings. To reduce
this risk we encourage investigators to acknowledge
this and add 50% to the calculated minimum group sizes.",Explicit endorsement,NA,No guidance
JOURNAL OF NUTRITION,AGRICULTURAL SCIENCES,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. If non-significant P values are reported, use only 2 digits past the decimal (e.g., P=0.15). Present significant P values to a maximum of 4 decimal places (e.g., P<0.0001); using fewer is acceptable.",Implicit endorsement,Exact unless very small,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. Use letters or symbols to indicate significant differences. Show statistics of variability (e.g., SD, pooled SEM) and the significance of differences among the data.",Implicit endorsement,Report alpha,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
NEUROLOGY,NEUROSCIENCE & BEHAVIOR,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis.",Explicit opposition (without prespecified multiplicity corrections),No guidance,"The Journals follow the guidelines outlined by authorities in the genetics research field (Neurology 2001 57:1153-1154 and Nature Genetics 2005:1217-1223). Calculations of statistical significance must make appropriate corrections for multiple testing. After such correction, the (experiment-wise) significance level must not exceed 0.01 and should preferably be smaller than that limit.",Implicit endorsement,0.01,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis. The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.


In the Results section of the manuscript, the following evidence-based medicine statistics must be included for the manuscript to be forwarded for editorial review:

Confidence intervals",Explicit endorsement,Report 95% Cis,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
Scientific Reports,Multidisciplinary,"Every article that contains statistical testing should state...the actual P value for each test (not merely ""significant"" or ""P < 0.05"")...It should be clear what statistical test was used to generate every P value. Use of the word ""significant"" should always be accompanied by a P value; otherwise, use ""substantial,"" ""considerable,"" etc.",Explicit endorsement,Exact,"Every article that contains statistical testing should state...the alpha level for all tests...the actual P value for each test (not merely ""significant"" or ""P < 0.05"")... It should be clear what statistical test was used to generate every P value. Use of the word ""significant"" should always be accompanied by a P value; otherwise, use ""substantial,"" ""considerable,"" etc.",Implicit endorsement,Report alpha,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,IMMUNOLOGY,"Every P value should be reported using two digits after the decimal point. If each of the first two digits after the decimal point is zero, then a third digit can be used. If each of the first three digits after the decimal point is zero, then simply report P < .001...If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is >0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS)...P values alone are not sufficient to report the results of statistical tests.",Explicit endorsement,Exact unless very small,"If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is >0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).",Implicit endorsement,Report alpha,"If the distribution for a continuous variable is approximately normally distributed, then report either [-] the sample mean and the sample standard deviation or [-] the sample mean and the 95% confidence interval for the population mean...The JACI'S readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons...[Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",Explicit endorsement,Report 95% Cis,"P values alone are not sufficient to report the results of statistical tests. The JACI'S readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons...[Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",Explicit endorsement,No guidance,"[Report] How sample size was determined and, when applicable, explanation of any interim analyses and stopping rules ... [Report] For each primary and secondary outcome , a summary of results for each group, and the estimated effect size and its precision (e.g., 95% confidence interval).",Explicit endorsement,NA,No guidance
PSYCHOLOGICAL SCIENCE,PSYCHIATRY_PSYCHOLOGY,"exact p values should be reported for all results greater than .001; p values below this range should be described as “p < .001.” 
",Implicit endorsement,Exact unless very small,"Psychological Science recommends the use of the “new statistics”—effect sizes, confidence intervals, and meta-analysis—to avoid problems associated with null-hypothesis significance testing (NHST).",Implicit opposition,No guidance,"Psychological Science recommends the use of the “new statistics”—effect sizes, confidence intervals, and meta-analysis—to avoid problems associated with null-hypothesis significance testing (NHST)... Please report 95% confidence intervals instead of standard deviations or standard errors around mean dependent variables, because confidence intervals convey more useful information—another point discussed in Cumming’s tutorial.",Explicit endorsement,Report 95% Cis,"Psychological Science recommends the use of the “new statistics”—effect sizes, confidence intervals, and meta-analysis—to avoid problems associated with null-hypothesis significance testing (NHST)...Authors must include effect sizes for their major results and distributional information in their graphs (or tables, for that matter). Fine-grained graphical presentations that show how data are distributed are often the most honest way of communicating results. Please report 95% confidence intervals instead of standard deviations or standard errors around mean dependent variables, because confidence intervals convey more useful information—another point discussed in Cumming’s tutorial.
...
Guidelines for Reporting fMRI Data
...We recognize that the focus of fMRI analyses is often not on effect sizes, but rather on (a) statistical reliability and (b) replicability. We refer authors to Poldrack et al. (2008) for a useful list of reporting guidelines for such analyses.
...
Over the past 50 years, many psychologists have conducted large numbers of studies with low statistical power and submitted for publication those studies that obtained statistically significant results (Cohen, 1969). That practice leads to exaggerated estimates of effect size. Indeed, when statistical power is very low, only results that exaggerate the true size of an effect can be statistically significant. Therefore, it is typically not appropriate to base sample size solely on the sample sizes and/or effect sizes reported in prior research or on the results of small pilot studies (see, e.g., Gelman & Carlin, 2014).
",Explicit endorsement,No guidance,"Submitting authors are also asked to explain why they believe that the sample sizes in the studies they report were appropriate. Bakker et al. (2016) reported evidence that many published research psychologists have faulty intuitions regarding statistical power. Over the past 50 years, many psychologists have conducted large numbers of studies with low statistical power and submitted for publication those studies that obtained statistically significant results (Cohen, 1969). That practice leads to exaggerated estimates of effect size. Indeed, when statistical power is very low, only results that exaggerate the true size of an effect can be statistically significant. Therefore, it is typically not appropriate to base sample size solely on the sample sizes and/or effect sizes reported in prior research or on the results of small pilot studies (see, e.g., Gelman & Carlin, 2014). There is no single right answer to this question, but authors must explain (in the submission portal and in the manuscript) why they believe their sample size is appropriate. If an estimate of the size of an effect is given, the unit of measurement (e.g., Cohen’s d) must be specified and some rationale for believing that the estimate is sound must be provided. If the study tests more than one effect, authors must make clear which of those effects their power analysis was based upon.",Explicit endorsement,NA,No guidance
Journal of Clinical Microbiology,MICROBIOLOGY,"For all appropriate multigroup comparisons, two P values must be generated and provided in the manuscript. The main P value applies to the overall data set and indicates that within that data set at least two groups differ from each other. The overall P value does not indicate which two groups are different. The main P value and the overall P value should be computed by using a post hoc test.

Statistical significance and biological significance are notthe same. There is nothing magical about a P value of 0.05. When results from large sample sizes are compared, a P value of < 0.05 will often be obtained, as P value is a function of both sample sizeand effect size. If sample sizes are large, then more-rigorous (i.e., smaller) P values may be desirable. If sample sizes are small, Pvalues of > 0.05  may  still  be  important.",Explicit endorsement,No guidance,"Statistical significance and biological significance are notthe same. There is nothing magical about a P value of 0.05. When results from large sample sizes are compared, a P value of < 0.05 will often be obtained, as P value is a function of both sample sizeand effect size. If sample sizes are large, then more-rigorous (i.e., smaller) P values may be desirable. If sample sizes are small, Pvalues of > 0.05  may  still  be  important.  There  should  be  bothstatistical and biological significance to the results and conclusions in the manuscript.

Data presented as endpoints (i.e., LD50and ID50, etc.) contain  both  the  calculated  value  and  a  confidence  interval with a statistical significance associated with it (95%, 99%, orsimilar confidence interval), calculated by logit or probit analysis.",Explicit endorsement,No guidance,"Sensitivity, specificity, positive predictive values, negative predictive values, and other such proportional measure-ments  must  be  reported  with  confidence  intervals (typically 95% confidence intervals).

Data presented as endpoints (i.e., LD50and ID50, etc.) contain  both  the  calculated  value  and  a  confidence  intervalwith a statistical significance associated with it (95%, 99%, orsimilar confidence interval), calculated by logit or probit anal-ysis.",Explicit endorsement,Report confidence level,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
JOURNAL OF CLINICAL ONCOLOGY,CLINICAL MEDICINE,"For randomized clinical trials, report two-sided P values...If the trial design was Bayesian, used one-sided P values, or was not based on a standard two-sided test, the primary result and conclusion may be described in terms of the original design. However, also include the two-sided P value of a standard test...Report actual P values, not, for example, P >.05. Two digits are sufficient for P > .01.",Explicit endorsement,Exact,NA,No guidance,No guidance,Report outcomes with both absolute and relative differences and confidence intervals where appropriate.,Explicit endorsement,No guidance,"Report outcomes with both absolute and relative differences and confidence intervals where appropriate...Authors may report differences in terms of odds ratios or hazard ratios, but should also include a comparison of an absolute difference of the primary measure (e.g., difference in survival at 5 years or difference in proportions of successes).",Explicit endorsement,No guidance,NA,No guidance,"If the trial design was Bayesian, used one-sided P values, or was not based on a standard two-sided test, the primary result and conclusion may be described in terms of the original design. However, also include the two-sided P value of a standard test.",Implicit endorsement
BRAIN,NEUROSCIENCE & BEHAVIOR,"For results of statistical tests, authors should report the statistical test that was applied (e.g. two-sample t-test, analysis of covariance), the test statistic (e.g. t, U, F, r), degrees of freedom as subscripts to the test statistic (Lazic, 2010), and the exact probability value (P). Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",Explicit endorsement,Exact,"Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",Implicit endorsement,Report alpha,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",Explicit endorsement,Report 95% Cis,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",Implicit endorsement,No guidance,"Details of a priori sample size calculations should be presented (including power to be achieved, alpha, the source of means and standard deviations involved in the calculation, and effect size). This is important because a statistical result is more likely to be a false positive or false negative result when the study has low power (Button et al., 2013). Pseudo-replication should be minimized at the design stage (Lazic, 2010).

Post hoc power tests are discouraged.",Explicit endorsement,"Authors are expected to apply the most appropriate statistical tools for data analysis, and it is acceptable to present results from frequentist, information-theory, and Bayesian approaches in the same manuscript.",Implicit endorsement
AMERICAN SOCIOLOGICAL REVIEW,"SOCIAL SCIENCES, GENERAL","Generally, results at p > .05 (such as p < .10) should not be indicated as significant. Use asterisks *, **, and *** to indicate significance at the p < .05, p < .01, and p < .001 levels, respectively",Implicit endorsement,"Thresholds [0.05, 0.01, 0.001]","Generally, results at p > .05 (such as p < .10) should not be indicated as significant.",Implicit endorsement,0.05,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
NUCLEIC ACIDS RESEARCH,BIOLOGY & BIOCHEMISTRY,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.",Implicit endorsement,No guidance,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.",Implicit endorsement,No guidance,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested...For estimates of proportions and means, also provide confidence intervals.",Explicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRONMENT_ECOLOGY,"If p-values are used to interpret findings, report actual p-values for all results rather than indicating ranges of p-values or statistical significance only.",Implicit endorsement,Exact,"If p-values are used to interpret findings, report actual p-values for all results rather than indicating ranges of p-values or statistical significance only...Do not limit results to statistically significant results or selected findings that support the study hypothesis.",Implicit endorsement,No guidance,"Include an appropriate measure of precision or variation (e.g., standard errors, 95% confidence intervals) with all summary estimates and estimates of effect.",Explicit endorsement,Report 95% Cis,"Include an appropriate measure of precision or variation (e.g., standard errors, 95% confidence intervals) with all summary estimates and estimates of effect.",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Multidisciplinary,"In statistics section, no explicit mention of p-values but ""measures of evidence strength"": ""full information on the statistical methods and measures used for each table and figure, such as a statistical test, estimates of parameters, exact sample sizes, and measures of evidence strength (frequentist or Bayesian)""

In figure legends section: ""The P value, magnification, or scale bar information should be provided when applicable""",Implicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"SOCIAL SCIENCES, GENERAL","In the IJE we actively discourage the use of the term ""statistically significant"" or just ""significant"" and such statements in method sections as ""findings at p<0.05 were considered significant"". Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",Implicit endorsement,Exact,"In the IJE we actively discourage the use of the term ""statistically significant"" or just ""significant"" and such statements in method sections as ""findings at p<0.05 were considered significant"". Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",Explicit opposition,No guidance,"Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",Implicit endorsement,No guidance,"Where used, we ask authors to provide effect estimates with confidence intervals and exact P values",Implicit endorsement,No guidance,NA,No guidance,NA,No guidance
Scientific Data,Multidisciplinary,"Inherited Nature [LSR] guidance: The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted. Journal specific guidance: Data Descriptors should not test new hypotheses or provide extensive interpretive analysis, and therefore should not usually contain statistical significance testing. When hypothesis-based tests must be employed, authors should state the name of the statistical test; the n value for each statistical analysis; the comparisons of interest; a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data); the alpha level for all tests, whether the tests were one-tailed or two-tailed; and the actual p-value for each test (not merely ‘significant’ or ‘p < 0.05’). It should be clear what statistical test was used to generate every p-value...
Use of the word ‘significant’ should always be accompanied by a p-value; otherwise, use ‘substantial’, ‘considerable’, etc.",Implicit endorsement,Exact,"Journal specific guidance: Data Descriptors should not test new hypotheses or provide extensive interpretive analysis, and therefore should not usually contain statistical significance testing. When hypothesis-based tests must be employed, authors should state the name of the statistical test; the n value for each statistical analysis; the comparisons of interest; a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data); the alpha level for all tests, whether the tests were one-tailed or two-tailed; and the actual p-value for each test (not merely ‘significant’ or ‘p < 0.05’). It should be clear what statistical test was used to generate every p-value...
Use of the word ‘significant’ should always be accompanied by a p-value; otherwise, use ‘substantial’, ‘considerable’, etc.",Implicit opposition,Report alpha,"Inherited Nature [LSR] guidance: test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,Report confidence level,"Inherited Nature [LSR] guidance: Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Inherited Nature [LSR] guidance: how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient.",Explicit endorsement,"Inherited Nature [LSR] guidance: For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings",Implicit endorsement
EMERGING INFECTIOUS DISEASES,IMMUNOLOGY,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals).",Implicit endorsement,No guidance,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals)...For statistical models, a table of results should provide the results of all the variables used in the model, the statistical significance of each variable, and a measure of goodness-of-fit of the entire model.",Explicit endorsement,Report alpha,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals).",Explicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
LANCET,CLINICAL MEDICINE,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
