journal,esi_field,p_value,significance,recommended_required,p_use,p_reporting,stat_sig_use,stat_sig_alpha
JAMA Oncology,CLINICAL MEDICINE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5).","Report basic numbers only but state if results are statistically significant or not significant;

Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant.

State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.",NA,NA,NA,NA,NA
NEW PHYTOLOGIST,PLANT & ANIMAL SCIENCE,NA,"If necessary, present results of tests of significance, such as analysis of variance, in addition to tests of variability.",NA,NA,NA,NA,NA
eLife,BIOLOGY & BIOCHEMISTRY,"Report exact p-values wherever possible alongside the summary statistics and 95%
confidence intervals. These should be reported for all key questions and not only
when the p-value is less than 0.05.",NA,NA,NA,NA,NA,NA
EUROPEAN HEART JOURNAL,CLINICAL MEDICINE,"Presentation of p-values: always give numeric value not just ns (p=0.14 and not ns for example). Give one leading digit for the p-values and in the case of very small p-values give p<0.0001.

Comparison of p-values: refrain from comparing the size of p-values when, for example, assessing differences for various groups. This needs some extra-testing.","Please specify the program used, the significance level, and that it is two-sided (which is the rule).

Proving significance of an association – even in a quite complicated model – does not imply causality of the relationship.

Statistical tests offer a rational decision in case of uncertainty. This probabilistic statement is possible only at the price of formality. If your descriptive analysis is in favour of your hypothesis, but the p-value is not significant, you could not prove your case and you should concede this. Even with a p-value 0.05

There are several points to consider:...

p-value is not significant: if the p-value does not reach significance, this is not proof that the scientific hypothesis is not correct. Other factors such as sample size, frequency of the given event or the relative effect size may explain the lack of statistical significance. Whenever a power calculation has been done, a probabilistic statement about the lack of effect can be made.

Significance vs. relevance: a statistically significant result does not imply clinical or scientific relevance even if the p-value is very low. This relevance is a subject-matter decision. In addition to significant p-values it is advisable to give a measure of effect size, in particular for large studies, where effects with little relevance may become statistically significant. The boundaries of a confidence interval may also be useful to assess relevance of potential effects.",NA,NA,NA,NA,NA
Journal of Clinical Microbiology,MICROBIOLOGY,"For all appropriate multigroup comparisons, two P values must be generated and provided in the manuscript. The main P value applies to the overall data set and indicates that within that data set at least two groups differ from each other. The overall P value does not indicate which two groups are different. The main P value and the overall P value should be computed by using a post hoc test.

Statistical significance and biological significance are notthe same. There is nothing magical about a P value of 0.05. When results from large sample sizes are compared, a P value of < 0.05 will often be obtained, as P value is a function of both sample sizeand effect size. If sample sizes are large, then more-rigorous (i.e., smaller) P values may be desirable. If sample sizes are small, Pvalues of > 0.05  may  still  be  important.","Statistical significance and biological significance are notthe same. There is nothing magical about a P value of 0.05. When results from large sample sizes are compared, a P value of < 0.05 will often be obtained, as P value is a function of both sample sizeand effect size. If sample sizes are large, then more-rigorous (i.e., smaller) P values may be desirable. If sample sizes are small, Pvalues of > 0.05  may  still  be  important.  There  should  be  bothstatistical and biological significance to the results and conclusions in the manuscript.

Data presented as endpoints (i.e., LD50and ID50, etc.) contain  both  the  calculated  value  and  a  confidence  interval with a statistical significance associated with it (95%, 99%, orsimilar confidence interval), calculated by logit or probit analysis.",NA,NA,NA,NA,NA
Journal of Allergy and Clinical Immunology-In Practice,IMMUNOLOGY,"• Every P value should be reported using two digits after the decimal point. If each of the first two digits after the decimal point is zero, then a third digit can be used. If each of the first three digits after the decimal point is zero, then simply report P < .001.
• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).
• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.","• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).",NA,NA,NA,NA,NA
EMBO JOURNAL,MOLECULAR BIOLOGY & GENETICS,"The description of all reported data that includes statistical testing must state the name of the statistical test used to generate error bars and P values, the number (n) of independent experiments underlying each data point (not replicate measures of one sample), and the actual P value for each test (not merely 'significant' or 'P < 0.05'). Discussion of statistical methodology can be reported in the materials and methods section, but figure legends should contain a basic description of n, P and the test applied.","Since for complex biological experiments the number of independent repeats of a measurement often has to be limited for practical reasons, statistical measures with a very small n are commonplace. However, statistical measures applied to too small a sample size are not significant and they can suggest a false level of significance. We recommend that the actual individual data from each experiment should be plotted if n < 5, alongside an error bar. In cases where n is small, a justification for the use of the statistical test employed has to be provided.",NA,NA,NA,NA,NA
Journal of the Academy of Nutrition and Dietetics,AGRICULTURAL SCIENCES,"Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the table. @@@ Use superscript letters to indicate footnotes (eg, a, b, c); however, use the standard * for P<0.05, ** for P<0.01, and *** for P<0.001. The asterisks indicating P values are only needed if the P values are not provided in the figure. @@@ Abstracts should be written in complete sentences and for a general journal readership, include P values, if appropriate, and be understandable without reference to the main text.","Only basic numbers should be included, but the author should indicate whether results were statistically significant or insignificant.",NA,NA,NA,NA,NA
PLOS BIOLOGY,BIOLOGY & BIOCHEMISTRY,NA,NA,NA,NA,NA,NA,NA
NUCLEIC ACIDS RESEARCH,BIOLOGY & BIOCHEMISTRY,"If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.","If p-values are presented, one-sided or two-sided should be specified. If one-sided, justification should be provided. Confidence intervals should also accompany the parameter for which statistical significance is being tested.",NA,NA,NA,NA,NA
Cancer Discovery,CLINICAL MEDICINE,NA,NA,NA,NA,NA,NA,NA
BMJ-British Medical Journal,CLINICAL MEDICINE,"Provide specifics about the evidence you discuss. For
example, for key statements, please say: “A large, well
conducted, randomised controlled trial showed INSERT
number [CI] and or p value” ... P values should always be accompanied by supporting data","main results with    (for    quantitative    studies)      95%      confidence      intervals      and,      where      appropriate,   the   exact   level   of   statistical   significance... Please do not use the term ‘negative’ to describe studies that have not found statistically significant differences, perhaps because  they  were  too  small.  There  will  always  be  some  uncertainty, and we hope you will be as explicit as possible in  reporting  what  you  have  found  in  your  study.  Using  wording such as “our results are compatible with a decrease of  this  much  or  an  increase  of  this  much”  or  ‘this  study  found  no  effect’  is  more  accurate  and  helpful  to  readers  than  “there  was  no  effect/no  difference.”",NA,NA,NA,NA,NA
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,CLINICAL MEDICINE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). P values should never be presented alone without the data that are being compared. If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5). In general, there is no need to present the values of test statistics (eg, F statistics or χ² results) and degrees of freedom when reporting results.","Define statistical terms, abbreviations, and symbols, if included. Avoid nontechnical uses of technical terms in statistics, such as correlation, normal, predictor, random, sample, significant, trend. Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant...State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided...Report basic numbers only but state if results are statistically significant or not significant;",NA,NA,NA,NA,NA
LANCET ONCOLOGY,CLINICAL MEDICINE,"p values should be given to two significant figures, unless p<0.0001",NA,NA,NA,NA,NA,NA
LANCET INFECTIOUS DISEASES,IMMUNOLOGY,"p values should be given to two significant figures, unless p<0.0001",NA,NA,NA,NA,NA,NA
EMERGING INFECTIOUS DISEASES,IMMUNOLOGY,"It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals).","It is insufficient to only report p values as evidence of statistical significance. Authors must also report some measure of dispersion (e.g., standard deviations, confidence intervals)...For statistical models, a table of results should provide the results of all the variables used in the model, the statistical significance of each variable, and a measure of goodness-of-fit of the entire model.",NA,NA,NA,NA,NA
Lancet HIV,IMMUNOLOGY,"p values should be given to two significant figures, unless p<0.0001",NA,NA,NA,NA,NA,NA
PLoS One,Multidisciplinary,"P-values. Report exact p-values for all values greater than or equal to 0.001. P-values less than 0.001 may be expressed as p < 0.001, or as exponentials in studies of genetic associations...Regression analyses. Include the full results of any regression analysis performed as a supplementary file. Include all estimated regression coefficients, their standard error, p-values, and confidence intervals, as well as the measures of goodness of fit.",Define the threshold for significance (alpha),NA,NA,NA,NA,NA
Science Advances,Multidisciplinary,"Results of each statistical test should be reported in full with the value of the test statistic and P value, and not simply reported as significant or nonsignificant; more than two significant digits on Pvalues are usually not needed except in situations of extreme multiple testing, such as in genetic association studies where stringent corrections for multiple testing might be used.","Results of each statistical test should be reported in full with the value of the test statistic and P value, and not simply reported as significant or nonsignificant
...
The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used, its use should be justified.",NA,NA,NA,NA,NA
Scientific Reports,Multidisciplinary,"Every article that contains statistical testing should state...the actual P value for each test (not merely ""significant"" or ""P < 0.05"")...It should be clear what statistical test was used to generate every P value. Use of the word ""significant"" should always be accompanied by a P value; otherwise, use ""substantial,"" ""considerable,"" etc.","Every article that contains statistical testing should state...the alpha level for all tests...the actual P value for each test (not merely ""significant"" or ""P < 0.05"")... It should be clear what statistical test was used to generate every P value. Use of the word ""significant"" should always be accompanied by a P value; otherwise, use ""substantial,"" ""considerable,"" etc.",NA,NA,NA,NA,NA
