coder,journal,has_guidance,has_external_guidance,external_guidance_raw,external_guidance_list,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous,has_publisher_guidance,publisher_guidance,overall_rank,field_rank,journal_impact_factor,esi_field,journal_homepage,original_link_stat_guidance,perma_link_stat_guidance,notes,domain
MM/TH,JOURNAL OF PINEAL RESEARCH,TRUE,TRUE,"EQUATOR, CONSORT, STROBE, PRISMA, CARE, SRQR, STARD, SQUIRE, CHEERS, ARRIVE, SPIRIT, AGREE","equator, consort, strobe, prisma, care, srqr, stard, squire, cheers, arrive, spirit, agree",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,628,11,11.613,BIOLOGY & BIOCHEMISTRY,https://onlinelibrary.wiley.com/journal/1600079x,https://onlinelibrary.wiley.com/page/journal/1600079x/homepage/forauthors.html,https://perma.cc/T8Q7-2DEU?type=image,Refers to ARRIVE guidelines - don't know if these contain stats guidance,Life sciences
MM/TH,GENETICS SELECTION EVOLUTION,TRUE,TRUE,"EQUATOR, SAMPL, Randomized controlled trials (CONSORT) and protocols (SPIRIT) Systematic reviews and meta-analyses (PRISMA) and protocols (PRISMA-P) Observational studies (STROBE) Case reports (CARE) Qualitative research (COREQ) Diagnostic/prognostic studies (STARD and TRIPOD) Economic evaluations (CHEERS) Pre-clinical animal studies (ARRIVE)","equator, sampl, consort, spirit, prisma, prisma-p, strobe, care, coreq, stard, tripod, cheers, arrive",TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,35,3,3.743,AGRICULTURAL SCIENCES,https://gsejournal.biomedcentral.com/,https://www.biomedcentral.com/getpublished/editorial-policies,https://perma.cc/5QHZ-ZB76,"This page refers to SAMPL/EQUATOR, see under ""Statistical methods"" (you may need to use Screenshot View in Perma)",Life sciences
MM/TH,Science Translational Medicine,TRUE,TRUE,"EQUATOR, ARRIVE, REMARK, STARD, MOOSE, PRISMA, STROBE, STREGA, BRISQ, Tumor marker studies (Simon et al., 2009), Rodent model studies (Hollingshead, 2008), Microarray-based studies for clinical outcomes, Table 3 in Dupuy & Simon, 2007)","equator, arrive, remark, stard, moose, prisma, strobe, strega, brisq, Simon et al. 2009 (10.1093/jnci/djp335), Hollingshead 2008 (10.1093/jnci/djn351), Dupuy & Simon 2007 (10.1093/jnci/djk018)",TRUE,TRUE,TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
...
Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",FALSE,NA,TRUE,"Sample size. How did you select your sample size? Did you use a power analysis to calculate the sample size necessary to achieve a reliable measurement of the effect? Did you alter this number during the course of the study and, if so, why?
...
Rules for stopping data collection. Did you define rules for stopping data collection in advance (for example, specific intermediary and final endpoints)?",TRUE,"Methods used for conducting statistical tests (e.g., t-test, Wilcoxon signed rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio-based interval) should be clearly stated.
...
Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",TRUE,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",TRUE,"Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?...Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported....more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Sufficient information should be supplied to allow readers to judge whether any assumptions necessary for the validity of statistical approaches (e.g., data are normally distributed, survival data are consistent with proportional hazards in a Cox regression model) have been verified.",TRUE,"Data inclusion/exclusion criteria. What criteria did you apply for inclusion and exclusion of data? Were these criteria established prospectively?...Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"Outliers. How were outliers defined and handled? Were they defined before the beginning of the study? Have you reported outliers that were excluded?...Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"An accounting of missing data values should be provided; if imputed data values are used in statistical analyses, the methods used for imputation should be fully described.",TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.",TRUE,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",TRUE,"Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?",TRUE,"If the analysis plan was preregistered in an independent institutional registry, authors should provide a link to the registration of the analysis plan upon submission of the paper to Science Translational Medicine.
...
Rules for stopping data collection. Did you define rules for stopping data collection in advance (for example, specific intermediary and final endpoints)?
...
Data inclusion/exclusion criteria. What criteria did you apply for inclusion and exclusion of data? Were these criteria established prospectively?
...
Outliers. How were outliers defined and handled? Were they defined before the beginning of the study? Have you reported outliers that were excluded?
...
Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?
...
Research objectives. State the objectives of the research, clearly distinguishing pre-specified hypotheses from hypotheses suggested after initiation of the data analyses.",FALSE,NA,FALSE,NA,7,1,16.71,BIOLOGY & BIOCHEMISTRY,https://stm.sciencemag.org,Link1: https://stm.sciencemag.org/content/instructions-authors-new-research-articles Link 2: https://stm.sciencemag.org/content/science-translational-medicine-general-policies,Link 1 : https://perma.cc/D9F6-LA7T Link 2: https://perma.cc/LXY6-CYD4,"Link 1: See under ""Experimental Design and Statistics Guidelines""; Link 2: See under ""Statistical Analysis""",Life sciences
MM/TH,STRATEGIC MANAGEMENT JOURNAL,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
The SMJ editorial on “Creating Repeatable Cumulative Knowledge in Strategic Management” (2016, vol. 37: 257-261) provides more detailed explanation of these policies.",TRUE,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
Data Snooping and P-hacking
SMJ strongly disapproves of data snooping and p-hacking practices in empirical research. Authors of submitted papers should not search databases for statistically significant coefficients with the intention of subsequently formulating hypotheses that fit the significant coefficients. Authors also should not adapt experimental designs with the primary intention of producing statistically significant results. In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",FALSE,NA,FALSE,NA,TRUE,"Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.",TRUE,"SMJ also requires in papers accepted for publication that authors explicitly discuss and interpret effect sizes of relevant estimated coefficients...In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"[replication studies] should be conducted rigorously and assess the robustness of the non-results, such as robustness to alternative measurement, statistical specifications and estimation methodologies.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,17,1,5.482,ECONOMICS & BUSINESS,https://onlinelibrary.wiley.com/journal/10970266,https://onlinelibrary.wiley.com/page/journal/10970266/homepage/forauthors.html,https://perma.cc/XLC8-GRN2,"See under ""Guidelines Regarding Empirical Research in SMJ""",Social sciences
MM/TH,Particle and Fibre Toxicology,TRUE,TRUE,"EQUATOR, SAMPL, Randomized controlled trials (CONSORT) and protocols (SPIRIT) Systematic reviews and meta-analyses (PRISMA) and protocols (PRISMA-P) Observational studies (STROBE) Case reports (CARE) Qualitative research (COREQ) Diagnostic/prognostic studies (STARD and TRIPOD) Economic evaluations (CHEERS) Pre-clinical animal studies (ARRIVE)","equator, sampl, consort, spirit, prisma, prisma-p, strobe, care, coreq, stard, tripod, cheers, arrive",TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,313,5,6.105,PHARMACOLOGY & TOXICOLOGY,https://particleandfibretoxicology.biomedcentral.com,https://www.biomedcentral.com/getpublished/editorial-policies,https://perma.cc/NQ5C-UK4T,"This page refers to SAMPL/EQUATOR, see under ""Statistical methods""",Health sciences
MSH/TH,ADVANCED MATERIALS,TRUE,TRUE,ARRIVE; CONSORT; REMARK; BRISQ,"arrive, consort, remark, brisq",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,241,7,21.95,MATERIALS SCIENCE,https://onlinelibrary.wiley.com/journal/15214095,NA,NA,"See OSF Storage file ""AdvancedMaterials_guidelines"" (p. 7) (https://osf.io/5buf6/), which refers to external guidelines",Physical sciences
MSH/TH,ECOLOGICAL MONOGRAPHS,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"When reporting results, actual P values are preferred. To denote levels of significance, actual P values are generally more informative than symbols such as * and **.",TRUE,"To denote levels of significance, actual P values are generally more informative than symbols such as * and **.
Effect size and biological importance must not be confused with statistical significance.",FALSE,NA,TRUE,"Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",TRUE,"Reported statistics usually include the sample size and some measure of their precision (standard error [SE] or specified confidence interval [CI]) except where this would interfere with graphical clarity.
Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",TRUE,Effect size and biological importance must not be confused with statistical significance.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"It is important that the author be satisfied that the assumptions behind any statistical analysis are sufficiently met and that, at least where unusual assumptions are made, unusual procedures are used, or unusual types of data are involved, and that the reader be provided with sufficient information to judge whether any departures from assumptions are severe enough to vitiate the conclusions. The amount of detail provided in any particular instance will depend on the centrality of the statistical test to the conclusions.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,302,7,7.828,ENVIRONMENT_ECOLOGY,https://esajournals.onlinelibrary.wiley.com/journal/15577015,https://esajournals.onlinelibrary.wiley.com/hub/journal/15577015/resources/author-guidelines-ecm,https://perma.cc/UE4J-7HZG,"See under ""Statistical analyses and data presentation""",Life sciences
MSH/TH,JOURNAL OF NUTRITION,TRUE,TRUE,CONSORT; ARRIVE; PRISMA,"consort, arrive, prisma",TRUE,TRUE,TRUE,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. If non-significant P values are reported, use only 2 digits past the decimal (e.g., P=0.15). Present significant P values to a maximum of 4 decimal places (e.g., P<0.0001); using fewer is acceptable.",TRUE,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. Use letters or symbols to indicate significant differences. Show statistics of variability (e.g., SD, pooled SEM) and the significance of differences among the data.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Standard ANOVA methodology assumes a homogeneous variance. If error variance is tested and found to be heterogeneous, transform data before ANOVA, or use nonparametric tests.",FALSE,NA,TRUE,"Standard ANOVA methodology assumes a homogeneous variance. If error variance is tested and found to be heterogeneous, transform data before ANOVA, or use nonparametric tests.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Indicate in both the abstract and the manuscript text whether the outcomes reported are primary or secondary outcomes of the study.,FALSE,NA,FALSE,NA,FALSE,NA,157,7,4.398,AGRICULTURAL SCIENCES,https://academic.oup.com/jn,https://academic.oup.com/jn/pages/General_Instructions,https://perma.cc/W3WA-7CTE,"This page refers to CONSORT, see under ""4. Methods"". See also under ""Statistical methods"", although this may be reporting guidance more than actual statistical guidance",Life sciences
MSH/TH,LANCET NEUROLOGY,TRUE,TRUE,ICMJE; CONSORT; STARD; STROBE; STREGA; PRISMA; GATHER; MIAME,"icmje, consort, stard, strobe, strega, prisma, gather, miame",TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0.0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"When reporting Kaplan-Meier survival data, at each timepoint, authors must include numbers at risk, and are encouraged to include the number of censored patients.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported,FALSE,NA,FALSE,NA,FALSE,NA,431,7,27.144,NEUROSCIENCE & BEHAVIOR,https://www.thelancet.com/journals/laneur/issue/current,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Lancet/authors/tln-info-for-authors-1573836176437.pdf,https://perma.cc/X2TB-PA9V,This file refers to CONSORT,Life sciences
MSH/TH,JAMA Internal Medicine,TRUE,TRUE,Cummings & Rivara (2003; doi:10.1001/archpedi.157.4.321); Kempen (2011; doi:  https://doi.org/10.1016/j.ajo.2010.08.047); CONSORT; EQUATOR; PRISMA; TREND; MOOSE; STROBE; CHEERS; ISPOR; STREGA; SQUIRE; AAPOR; SRQR; COREQ,"Cummings & Rivara 2003 (10.1001/archpedi.157.4.321), Kempen 2011 (10.1016/j.ajo.2010.08.047), consort, equator, prisma, trend, moose, strobe, cheers, ispor, strega, squire, aapor, srqr, coreq",TRUE,TRUE,TRUE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5).",TRUE,"Report basic numbers only but state if results are statistically significant or not significant;

Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant.

State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.",FALSE,NA,TRUE,"For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.",TRUE,"In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation).

When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals.

Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals.

Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals), adverse effects, and very brief comments, if necessary.",TRUE,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",TRUE,"For analyses of more than 1 primary outcome, corrections for multiple testing should generally be used. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.",TRUE,"Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.",TRUE,"For randomized trials using parallel-group design, there is no validity in conducting hypothesis tests regarding the distribution of baseline covariates between groups; by definition, these differences are due to chance. Because of this, tables of baseline participant characteristics should not include P values or statements of statistical comparisons among randomized groups. Instead, report clinically meaningful imbalances between groups, along with potential adjustments for those imbalances in multivariable models.",FALSE,NA,TRUE,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses. Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses.",TRUE,"For multivariable models, report all variables included in models, and report model diagnostics and overall fit of the model when available (see Statistical Procedures).",TRUE,"If some participants are excluded from analyses because of missing or incomplete data, provide a supplementary table that compares the observed characteristics between participants with complete and incomplete data. 

Each manuscript should clearly state an objective or hypothesis; the design and methods (including the study type and setting and dates, patients or participants with inclusion and exclusion criteria and/or participation or response rates, or data sources, and how these were selected for the study)...

The numbers of eligible participants and how they were selected should be provided, including the number approached but who refused or were excluded. For selection procedures, these terms should be used, if appropriate: random sample (where random refers to a formal, randomized selection in which all eligible individuals have a fixed and usually equal chance of selection); population-based sample; referred sample; consecutive sample; volunteer sample; convenience sample. If matching is used for comparison groups, characteristics that are matched should be specified. In follow-up studies, the proportion of participants who completed the study must be indicated.",FALSE,NA,TRUE,"Report losses to observation, such as dropouts from a clinical trial or those lost to follow-up or unavailable in an observational study. Consider multiple imputation methods to impute missing data and include an assessment of whether data were missing at random. Approaches based on ""last observation carried forward"" should not be used",TRUE,"State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.

Error bars should be included in both directions, unless only 1-sided variability was calculated.",FALSE,NA,TRUE,"Do not emphasize secondary outcomes.  

Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. 

For secondary and subgroup analyses, there should be a description of how the potential for type I error due to multiple comparisons was handled, for example, by adjustment of the significance threshold. In the absence of some approach, these analyses should generally be described and interpreted as exploratory, as should all post hoc analyses.",TRUE,"All clinical trials that have begun randomization must be registered at an appropriate online public registry (see Trial Registration requirements)...Both randomized and observational studies should identify the primary outcome(s) before the study began, as well as any prespecified secondary, subgroup, and/or sensitivity analyses. Comparisons arrived at during the course of the analysis or after the study was completed should be identified as post hoc...Analyses should follow EQUATOR Reporting Guidelines and be consistent with the protocol and statistical analysis plan, or described as post hoc.",FALSE,NA,FALSE,NA,565,7,19.989,CLINICAL MEDICINE,https://jamanetwork.com/journals/jamainternalmedicine,https://jamanetwork.com/journals/jamainternalmedicine/pages/instructions-for-authors,https://perma.cc/V6TU-Y3WY,"This page refers to external guidelines, e.g. CONSORT and EQUATOR",Health sciences
MSH/TH,BRITISH JOURNAL OF PSYCHIATRY,TRUE,TRUE,ICMJE; CONSORT; PRISMA; CHEERS; MOOSE; STROBE,"icmje, consort, prisma, cheers, moose, strobe",TRUE,TRUE,TRUE,Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone).,TRUE,"To report a difference as being statistically significant is generally insufficient, and comment should be made about the magnitude and direction of change. 

The value of test statistics used (e.g. t, F-ratio) should be given as well as their significance levels so that their derivation can be understood
",FALSE,NA,TRUE,Authors are encouraged to include estimates of statistical power where appropriate.,TRUE,Use of confidence intervals is encouraged but not mandatory. Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone).,TRUE,"Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone). To report a difference as being statistically significant is generally insufficient, and comment should be made about the magnitude and direction of change.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,The statistical analyses should be planned before data are collected and full explanations given for any post hoc analyses carried out.,FALSE,NA,FALSE,NA,365,7,5.867,PSYCHIATRY_PSYCHOLOGY,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/information/instructions-contributors,https://perma.cc/N9JC-DH56,"This page refers to external guidelines, e.g. CONSORT and STROBE",Social sciences
MSH/TH,GigaScience,TRUE,TRUE,ICMJE; ARRIVE; EQUATOR; CONSORT; PRISMA; STROBE; STARD/TRIPOD; SAMPL,"icmje, arrive, equator, consort, prisma, strobe, stard, tripod, sampl",TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"We have found that it is useful to have the conducted research pre-registered prior to conducting the research with an analysis plan in an independent, institutional registry (e.g. the Open Science Framework), As it provides extensive support for collaboration and organizing all components of your research.",FALSE,NA,FALSE,NA,294,7,7.267,Multidisciplinary,https://academic.oup.com/gigascience,https://academic.oup.com/gigascience/pages/editorial_policies_and_reporting_standards,https://perma.cc/8Y2M-HLG6,"This page refers to SAMPL, see under ""Statistical methods""",Multidisciplinary
MSH/TH,PLANT JOURNAL,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"*, **, *** should be reserved for P-values",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"In the case of multiple comparisons (e.g. microarray data), the probability of false positives should be considered in the analysis.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Qualifying public, open-access repositories are committed to preserving data, materials, and/or registered analysis plans and keeping them publicly accessible via the web into perpetuity.",FALSE,NA,FALSE,NA,228,7,5.775,PLANT & ANIMAL SCIENCE,https://onlinelibrary.wiley.com/journal/1365313x,https://onlinelibrary.wiley.com/page/journal/1365313x/homepage/forauthors.html,https://perma.cc/A84J-YTUC,"Unsure whether this counts, but see under ""Statistics""",Life sciences
MSH/TH,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,312,8,12.102,CHEMISTRY,https://onlinelibrary.wiley.com/journal/15213773,https://onlinelibrary.wiley.com/page/journal/15213773/homepage/notice-to-authors,https://perma.cc/G58H-RLGV,"Possibly in the section ""Appendix: Reporting Experimental Information and Data""",Physical sciences
MSH/TH,ANNALS OF NEUROLOGY,TRUE,TRUE,CONSORT,consort,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,439,8,10.25,NEUROSCIENCE & BEHAVIOR,https://onlinelibrary.wiley.com/journal/15318249,https://onlinelibrary.wiley.com/page/journal/15318249/homepage/forauthors.html,https://perma.cc/4QRD-TUUS,This page refers to CONSORT,Life sciences
MSH/TH,Nutrients,TRUE,TRUE,CONSORT; ARRIVE,"consort, arrive",TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Nutrients does not publish pilot studies or studies with inadequate statistical power.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,211,8,4.196,AGRICULTURAL SCIENCES,https://www.mdpi.com/journal/nutrients,https://www.mdpi.com/journal/nutrients/instructions#preparation,https://perma.cc/Q4ZE-33YJ,"This page refers to CONSORT, see under ""Clinical Trials Registration""",Life sciences
