coder,journal,has_guidance,has_external_guidance,external_guidance,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous
MM/TH,Molecular Plant,TRUE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MM/TH,Light-Science & Applications,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",TRUE,FALSE,TRUE,"Statistical analyses (including error bars and p
values) should only be shown for independently
repeated experiments, and must not be shown for
replicates of a single experiment",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MM/TH,Nature Physics,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,Expert Opinion on Drug Delivery,TRUE,TRUE,CONSORT; ICMJE,TRUE,FALSE,TRUE,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Any data not included in the analysis (including patients withdrawn from the study) should be detailed.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MM/TH,MOVEMENT DISORDERS,TRUE,TRUE,EQUATOR; CONSORT; STROBE; STARD; PRISMAA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,MOLECULAR PSYCHIATRY,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,NEUROLOGY,TRUE,TRUE,"CONSORT; STROBE; STREGA; PRISMA, STARD, STROND",TRUE,TRUE,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis.",TRUE,"The Journals follow the guidelines outlined by authorities in the genetics research field (Neurology 2001 57:1153-1154 and Nature Genetics 2005:1217-1223). Calculations of statistical significance must make appropriate corrections for multiple testing. After such correction, the (experiment-wise) significance level must not exceed 0.01 and should preferably be smaller than that limit.",FALSE,NA,FALSE,NA,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis. The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.


In the Results section of the manuscript, the following evidence-based medicine statistics must be included for the manuscript to be forwarded for editorial review:

Confidence intervals",TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals",TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.  Hence, a well-designed randomized or observational study will have a primary hypothesis for which a P value < 0.05 can be applied after adjustment for testing multiple endpoints associated with that primary hypothesis. 

The Journals follow the guidelines outlined by authorities in the genetics research field (Neurology 2001 57:1153-1154 and Nature Genetics 2005:1217-1223). Calculations of statistical significance must make appropriate corrections for multiple testing. After such correction, the (experiment-wise) significance level must not exceed 0.01 and should preferably be smaller than that limit.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.,TRUE,"Due to the growing concerns on the overuse and misinterpretation of P values, replace P values with estimates of effects or association and corresponding 95% confidence intervals unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing.",FALSE,NA
MM/TH,BRAIN,TRUE,TRUE,CONSORT; STROBE; ARRIVE; The statistical guidelines advocated by the International Committee of Medical Journal Editors (Ann Intern Med 1988; 108: 266-73) should be followed.,TRUE,TRUE,TRUE,"For results of statistical tests, authors should report the statistical test that was applied (e.g. two-sample t-test, analysis of covariance), the test statistic (e.g. t, U, F, r), degrees of freedom as subscripts to the test statistic (Lazic, 2010), and the exact probability value (P). Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",TRUE,"Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",FALSE,NA,TRUE,"Details of a priori sample size calculations should be presented (including power to be achieved, alpha, the source of means and standard deviations involved in the calculation, and effect size). This is important because a statistical result is more likely to be a false positive or false negative result when the study has low power (Button et al., 2013). Pseudo-replication should be minimized at the design stage (Lazic, 2010).

Post hoc power tests are discouraged.",TRUE,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",TRUE,"A 95% confidence interval for the size of each effect is encouraged (Halsey et al., 2015).",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Statistical analysis’ and describe procedures used to evaluate fit of the model to the data, such as goodness-of-fit tests, inspection of residuals, or tests of model assumptions.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Please indicate whether statistical tests were one- or two-tailed, and the alpha-level that was used to determine significance (e.g. P < 0.05).",TRUE,"Authors are expected to apply the most appropriate statistical tools for data analysis, and it is acceptable to present results from frequentist, information-theory, and Bayesian approaches in the same manuscript.",FALSE,NA,FALSE,NA,FALSE,NA
MSH/TH,NATURE METHODS,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH/TH,Lancet Respiratory Medicine,TRUE,TRUE,ICMJE recommendations; COPE guidelines; CONSORT 2010 guidelines; CONSORT extended guidelines; STARD guidelines; STROBE statement; STREGA guidelines; PRISMA guidelines; GATHER statement; MIAME guidelines,TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0·0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",FALSE,NA,FALSE,NA,TRUE,"We encourage researchers to enrol women and ethnic groups into clinical trials of all phases, and to plan to analyse data by sex and by race.; Separate reporting of data by demographic variables, such as age and sex, facilitates pooling of data for subgroups across studies and should be routine, unless inappropriate. Discuss the influence or association of variables, such as sex and/or gender, on your findings, where appropriate, and the limitations of the data.",FALSE,NA,TRUE,"When reporting Kaplan-Meier survival data, at each timepoint, authors must include numbers at risk, and are encouraged to include the number of censored patients.",FALSE,NA,FALSE,NA,TRUE,"Therefore, all Reviews should include a brief section entitled “Search strategy and selection criteria” stating the sources (including databases, MeSH and free text search terms and filters, and reference lists from journals or books) of the material covered, and the criteria used to include or exclude studies.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported,TRUE,"From July 1, 2018, all submitted reports of clinical trials must
contain a data sharing statement, to be included at the end of the
manuscript. Data sharing statements must indicate...Whether additional, related documents will be available (eg, study protocol, statistical analysis plan, informed consent form);",FALSE,NA
MM/TH,Scientific Data,TRUE,TRUE,"CONSORT, REMARK, Nature Editorial Policy Checklist, Nature Life Sciences, Nature Physical Sciences Lasing Reporting, Nature Physical Sciences Photovoltaic Reporting",TRUE,TRUE,TRUE,"Data Descriptors should not test new hypotheses or provide extensive interpretive analysis, and therefore should not usually contain statistical significance testing. When hypothesis-based tests must be employed, authors should state the name of the statistical test; the n value for each statistical analysis; the comparisons of interest; a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data); the alpha level for all tests, whether the tests were one-tailed or two-tailed; and the actual p-value for each test (not merely ‘significant’ or ‘p < 0.05’). It should be clear what statistical test was used to generate every p-value...
Use of the word ‘significant’ should always be accompanied by a p-value; otherwise, use ‘substantial’, ‘considerable’, etc.",TRUE,"Data Descriptors should not test new hypotheses or provide extensive interpretive analysis, and therefore should not usually contain statistical significance testing. When hypothesis-based tests must be employed, authors should state the name of the statistical test; the n value for each statistical analysis; the comparisons of interest; a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data); the alpha level for all tests, whether the tests were one-tailed or two-tailed; and the actual p-value for each test (not merely ‘significant’ or ‘p < 0.05’). It should be clear what statistical test was used to generate every p-value...
Use of the word ‘significant’ should always be accompanied by a p-value; otherwise, use ‘substantial’, ‘considerable’, etc.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Multiple test correction must be used when appropriate and described in detail in the manuscript.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"[authors should state] a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data)",TRUE,"If any data or samples were excluded, explain the exclusion criteria and state in the methods whether the criteria were established before the study was conducted.",FALSE,NA,FALSE,NA,TRUE,"When hypothesis-based tests must be employed, authors should state the name of the statistical test; the n value for each statistical analysis; the comparisons of interest; a justification for the use of that test (including, for example, a discussion of the normality of the data when the test is appropriate only for normal data); the alpha level for all tests, whether the tests were one-tailed or two-tailed; and the actual p-value for each test (not merely ‘significant’ or ‘p < 0.05’).",FALSE,NA,FALSE,NA,TRUE,"If any data or samples were excluded, explain the exclusion criteria and state in the methods whether the criteria were established before the study was conducted.",FALSE,NA
